name,host,run
Mbovis,other,
Morygis_112400015,human,
Morygis_LN2011,human,
Morygis_NIRTAH144,cow,
Morygis_Absc2007,human,
Morygis_Resp2008,human,
Morygis_Resp2011,human,
Morygis_hokkaido,cow,
Morygis_IK1351,cow,SRR10251185
Morygis_IK1664,cow,SRR10251194
Morygis_IK1660,deer,SRR10251195
Mpinnipedii,other,
MTB_beijing,other,
MTB_ethiopia,other,
Mcaprae,other,
Mafricanum,other,
